Overall Rank,Name,Position,Position Rank,Team,Receptions,Receiving Yards,Receiving TDs,Rushing Yards,Rushing Touchdowns,Passing Yards,Passing Touchdowns,Turnovers,Total Fantasy Points,Tier
23,Jeremiyah Love,RB,10,Arizona Cardinals,,,,,,,,,,2
24,Josh Jacobs,RB,11,Green Bay Packers,32.5,275.5,0.5,1050.5,9.5,0,0,6,202.85,2
26,Chase Brown,RB,12,Cincinnati Bengals,45.5,325.5,2,875.5,5.5,0,0,6,181.85,2
27,Omarion Hampton,RB,13,Los Angeles Chargers,30.5,175.5,1,850.5,6.5,0,0,6,156.85,3
31,Kenneth Walker III,RB,14,Kansas City Chiefs,37.5,325.5,0.5,875.5,6.5,0,0,6,174.85,3
33,Javonte Williams,RB,15,Dallas Cowboys,,,,,,,,,,3
34,Kyren Williams,RB,16,Los Angeles Rams,27.5,150.5,1,1000.5,10.5,0,0,6,191.85,3
41,Travis Etienne,RB,17,Jacksonville Jaguars,32.5,225.5,0.5,500.5,3.5,0,0,6,106.85,4
42,Breece Hall,RB,18,New York Jets,40.5,350.5,1.5,875.5,5.5,0,0,6,178.85,4
43,Quinshon Judkins,RB,19,Cleveland Browns,19.5,150.5,0.5,675.5,4.5,0,0,6,116.35,4
46,Chuba Hubbard,RB,20,Carolina Panthers,25.5,150.5,0.5,950.5,6.5,0,0,6,158.85,4
48,Bucky Irving,RB,21,Tampa Bay Buccaneers,42.5,349.5,1.5,1000.5,7.5,0,0,6,204.25,4
58,Cam Skattebo,RB,22,New York Giants,17.5,150.5,0.5,475.5,4.5,0,0,6,95.35,4
59,TreVeyon Henderson,RB,23,New England Patriots,27.5,250.5,1.5,700.5,4.5,0,0,6,138.85,4
60,David Montgomery,RB,24,Houston Texans,25.5,225.5,0.5,725.5,8.5,0,0,6,155.85,5
67,D'Andre Swift,RB,25,Chicago Bears,40.5,325.5,1,800.5,5.5,0,0,6,165.85,5
68,Tony Pollard,RB,26,Tennessee Titans,32.5,200.5,0.5,875.5,5.5,0,0,6,153.85,5
70,Jadarian Price,RB,27,Seattle Seahawks,,,,,,,,,,5
77,RJ Harvey,RB,28,Denver Broncos,30.5,225.5,1,700.5,4.5,0,0,6,134.85,5
84,Bhayshul Tuten,RB,29,Jacksonville Jaguars,,,,,,,,,,5
88,Rico Dowdle,RB,30,Pittsburgh Steelers,,,,,,,,,,6
90,J.K. Dobbins,RB,31,Denver Broncos,22.5,150.5,0.5,599.5,4.5,0,0,6,110.25,6
93,Blake Corum,RB,32,Los Angeles Rams,,,,,,,,,,6
